name,sku,category_name,price,description
"Пробковый сбор (напитки)","CORK_FEE_DRINKS","Напитки",10.00,"ВСЕГО 10.00 РУБЛЕЙ ЗА ОДНУ БУТЫЛКУ ВАШЕГО БЕЗАЛКОГОЛЬНОГО НАПИТКА И МОЖЕТЕ НАСЛАЖДАТЬСЯ ПРИНЕСЁННЫМИ С СОБОЙ НАПИТКАМИ. В услугу входят - БОКАЛЫ ПОД ВАШИ НАПИТКИ, ЛЕД ПО НЕБХОДИМОСТИ, УБОРКА СТОЛИКА."
"Чай Rich Зеленый холодный 0.5л","RICH_GREEN_TEA_05","Холодный Чай",3.60,"Холодный, освежающий напиток объем 0.5л"
"Бамбл-Bee","BUMBLE_BEE","Чай и Кофе",8.50,"Эспрессо, апельсиновый сок, сироп карамель"
"Айс Латте","ICE_LATTE","Чай и Кофе",8.50,"Эспрессо, молоко, сироп на выбор"
"Клубничный Айспрессо","STRAWBERRY_AESPRESSO","Чай и Кофе",8.00,"Эспрессо, сироп клубника, вода газированная, сахарный сироп"
"Раф с сиропом на выбор","RAF_SYRUP","Чай и Кофе",8.50,"Раф – это взбитая в капучинаторе смесь из чёрного кофе и сливок, приправленная сиропом."
"Латте","LATTE","Чай и Кофе",6.50,"Большинство людей всей душой любят напиток не только за его большой объем, но и не высокую крепость."
"Капучино","CAPPUCCINO","Чай и Кофе",6.00,"Кофейный напиток итальянской кухни на основе эспрессо с добавлением в него подогретого насыщенного кислородом молока."
"Американо","AMERICANO","Чай и Кофе",5.00,"Эспрессо, разбавленный горячей водой."
"Эспрессо","ESPRESSO","Чай и Кофе",4.80,"Чёрный кофе, приготовленный в кофемашине."
"Чай Да Хун Пао (Большой красный халат) 750мл","DA_HUNG_PAO_750","Чай и Кофе",14.00,"Легендарный улун из гор Уишань. Аромат многогранный: ноты цветущей сливы, древесные оттенки."
"Чай Зеленый (Те Гуань Инь) 750мл","TE_GUAN_YIN_750","Чай и Кофе",14.00,"Жемчужина китайских улунов. Аромат: цветущей сирени, орхидеи и свежих фруктов."
"Кенийский чёрный чай 750мл","KENYA_TEA_750","Чай и Кофе",14.00,"Элитный чёрный чай из высокогорных плантаций Кении."
